<$schema>	<id>	<title>	<type>	<nodeTerms>	<namespace>	<category>	<program>	<project>	<description>	<additionalProperties>	<submittable>	<validators>	<systemProperties>	<required>	<uniqueKeys>	<link_name>	<link_backref>	<link_label>	<link_target>	<link_multiplicity>	<link_required>	<link_group_exclusive>	<link_group_required>	<property_ref>
http://json-schema.org/draft-04/schema#	study	Study	object		https://rerf.datacommons.org/	administrative	*	*	"A coordinated set of actions and observations designed to generate data, with the ultimate goal of discovery or hypothesis testing."	FALSE	TRUE		"id, project_id, state, created_datetime, updated_datetime"	"submitter_id, type, study_description, projects"	"id | project_id, submitter_id"	projects	studies	performed_for	project	many_to_one	TRUE
http://json-schema.org/draft-04/schema#	subject	Subject	object		https://rerf.datacommons.org/	administrative	*	*	The collection of all data related to a specific subject in the context of a specific project.	FALSE	TRUE		"id, project_id, state, created_datetime, updated_datetime"	"submitter_id, type, studies, sys_id"	"id | project_id, submitter_id"	studies	subjects	member_of	study	many_to_one	TRUE			_definitions.yaml#/ubiquitous_properties
http://json-schema.org/draft-04/schema#	birth	Births	object		https://rerf.datacommons.org/	clinical	*	*	Birth data from multiple sources	FALSE	TRUE		"id, project_id, state, created_datetime, updated_datetime"	"submitter_id, type, subjects, birth_sysid"	"id | project_id, submitter_id"	subjects	births	describing	subject	many_to_one	TRUE			_definitions.yaml#/ubiquitous_properties
http://json-schema.org/draft-04/schema#	dose	Organ Dose	object		https://rerf.datacommons.org/	clinical	*	*	Estimates of organ-level radiation dosage	FALSE	TRUE		"id, project_id, state, created_datetime, updated_datetime"	"submitter_id, type, subjects, organ_sysid"	"id | project_id, submitter_id"	subjects	doses	describing	subject	many_to_one	TRUE			_definitions.yaml#/ubiquitous_properties
http://json-schema.org/draft-04/schema#	cancer_diag	Cancer Diagnoses	object		https://rerf.datacommons.org/	medical_history	*	*	History of subject's cancer diagnoses	FALSE	TRUE		"id, project_id, state, created_datetime, updated_datetime"	"submitter_id, type, subjects, cancer_sysid"	"id | project_id, submitter_id"	subjects	cancer_diags	describing	subject	many_to_one	TRUE			_definitions.yaml#/ubiquitous_properties
http://json-schema.org/draft-04/schema#	inutero	Inutero Program	object		https://rerf.datacommons.org/	administrative	*	*	Programs within the Inutero cohort	FALSE	TRUE		"id, project_id, state, created_datetime, updated_datetime"	"submitter_id, type, subjects, sys_id"	"id | project_id, submitter_id"	subjects	inuteros	member_of	subject	many_to_one	TRUE			_definitions.yaml#/ubiquitous_properties
http://json-schema.org/draft-04/schema#	f1	F1 Program	object		https://rerf.datacommons.org/	administrative	*	*	Programs within the F1 cohort	FALSE	TRUE		"id, project_id, state, created_datetime, updated_datetime"	"submitter_id, type, subjects, sys_id"	"id | project_id, submitter_id"	subjects	f1s	member_of	subject	many_to_one	TRUE			_definitions.yaml#/ubiquitous_properties
http://json-schema.org/draft-04/schema#	exam	AHS Exam Index	object		https://rerf.datacommons.org/	administrative	*	*	Adult Health Study clinical follow-up visits	FALSE	TRUE		"id, project_id, state, created_datetime, updated_datetime"	"submitter_id, type, subjects, sys_id, smp_id"	"id | project_id, submitter_id"	subjects	exams	performed_on	subject	many_to_one	TRUE			_definitions.yaml#/ubiquitous_properties
http://json-schema.org/draft-04/schema#	exam_diag	AHS Exam Diagnoses	object		https://rerf.datacommons.org/	medical_history	*	*	Adult Health Study clinical diagnoses at visits	FALSE	TRUE		"id, project_id, state, created_datetime, updated_datetime"	"submitter_id, type, ahs_exam_indexes, smp_id"	"id | project_id, submitter_id"	ahs_exam_indexes	exam_diags	derived_from	exam	many_to_one	TRUE			_definitions.yaml#/ubiquitous_properties
http://json-schema.org/draft-04/schema#	exam_meas	AHS Exam Measures	object		https://rerf.datacommons.org/	medical_history	*	*	Adult Health Study diagnostic measures at visits	FALSE	TRUE		"id, project_id, state, created_datetime, updated_datetime"	"submitter_id, type, ahs_exam_indexes, smp_id"	"id | project_id, submitter_id"	ahs_exam_indexes	exam_meas	derived_from	exam	many_to_one	TRUE			_definitions.yaml#/ubiquitous_properties
